chr	block	start	end	block_length	n_haplotypes	n_clusters	max_cluster_size	singleton_count	dominance	shannon_entropy
chr1	chr1_101984920-102070942	101984920	102070942	86022	5096	8	4684	2	0.919152	0.50276
chr1	chr1_102070942-102130704	102070942	102130704	59762	5096	27	2343	13	0.459772	1.67235
chr1	chr1_102130704-102245193	102130704	102245193	114489	5096	730	1321	504	0.259223	5.09988
chr1	chr1_102245193-102284231	102245193	102284231	39038	5096	13	3056	3	0.599686	1.53607
chr1	chr1_102284231-102433268	102284231	102433268	149037	5096	20	4122	13	0.80887	0.877405
chr1	chr1_102433268-102500873	102433268	102500873	67605	5096	107	3213	62	0.630495	1.98395
chr1	chr1_102500873-102735029	102500873	102735029	234156	5096	47	5014	41	0.983909	0.193939
chr1	chr1_102735029-102886895	102735029	102886895	151866	5096	55	3408	35	0.66876	1.41286
chr1	chr1_102886895-102986836	102886895	102986836	99941	5096	182	2483	124	0.487245	2.68737
chr1	chr1_102986836-103115063	102986836	103115063	128227	5096	11	4025	4	0.789835	1.17332
chr1	chr1_103115063-103347535	103115063	103347535	232472	5096	198	3076	180	0.603611	1.81705
chr1	chr1_103347535-103830994	103347535	103830994	483459	5096	749	1960	666	0.384615	3.623
chr1	chr1_103830994-103982054	103830994	103982054	151060	5096	855	2047	628	0.401688	5.05957
chr1	chr1_103982054-104245823	103982054	104245823	263769	5096	626	2456	573	0.481947	3.66843
chr1	chr1_10424113-10583662	10424113	10583662	159549	5096	20	2827	16	0.554749	1.04186
chr1	chr1_104245823-104309084	104245823	104309084	63261	5096	234	4514	165	0.885793	1.25189
chr1	chr1_104309084-104348624	104309084	104348624	39540	5096	20	2686	10	0.52708	1.36477
chr1	chr1_104348624-104404964	104348624	104404964	56340	5096	71	1272	40	0.249608	3.19522
chr1	chr1_104404964-104443165	104404964	104443165	38201	5096	555	1873	373	0.367543	4.63907
chr1	chr1_104443165-104568791	104443165	104568791	125626	5096	405	2410	313	0.47292	3.31834
chr1	chr1_104568791-104650400	104568791	104650400	81609	5096	305	2099	204	0.411892	3.1613
chr1	chr1_104650400-104752948	104650400	104752948	102548	5096	348	1359	233	0.26668	4.01927
chr1	chr1_104752948-104871998	104752948	104871998	119050	5096	34	1886	20	0.370094	2.14584
chr1	chr1_104871998-105011742	104871998	105011742	139744	5096	1139	1533	1089	0.300824	4.76432
chr1	chr1_105011742-105120758	105011742	105120758	109016	5096	189	2511	131	0.492739	2.07306
chr1	chr1_105120758-105158328	105120758	105158328	37570	5096	164	2811	102	0.551609	2.35671
chr1	chr1_105158328-105189166	105158328	105189166	30838	5096	55	2105	35	0.413069	2.12638
chr1	chr1_105189166-105367199	105189166	105367199	178033	5096	691	1945	582	0.381672	3.73025
chr1	chr1_105367199-105469949	105367199	105469949	102750	5096	117	4736	84	0.929356	0.743775
chr1	chr1_105469949-105544876	105469949	105544876	74927	5096	4	2151	0	0.422096	1.56954
chr1	chr1_105544876-105587410	105544876	105587410	42534	5096	84	2551	57	0.500589	1.84458
chr1	chr1_105587410-105636933	105587410	105636933	49523	5096	47	2880	25	0.565149	1.73312
chr1	chr1_105636933-105817418	105636933	105817418	180485	5096	507	3330	384	0.653454	3.00438
chr1	chr1_105817418-105913619	105817418	105913619	96201	5096	5	3108	2	0.60989	1.34383
chr1	chr1_10583662-10629885	10583662	10629885	46223	5096	117	2935	67	0.575942	2.48773
chr1	chr1_105913619-106035268	105913619	106035268	121649	5096	10	3162	4	0.620487	1.29643
chr1	chr1_106035268-106073636	106035268	106073636	38368	5096	76	3151	41	0.618328	1.88628
chr1	chr1_106073636-106099255	106073636	106099255	25619	5096	44	3776	21	0.740973	1.43188
chr1	chr1_106099255-106227476	106099255	106227476	128221	5096	443	3811	355	0.747841	2.42612
chr1	chr1_106227476-106424860	106227476	106424860	197384	5096	681	1780	566	0.349294	4.25643
chr1	chr1_10629885-10702147	10629885	10702147	72262	5096	935	2384	661	0.467818	5.43583
chr1	chr1_106424860-106538583	106424860	106538583	113723	5096	447	1798	331	0.352826	3.52754
chr1	chr1_106538583-106648863	106538583	106648863	110280	5096	163	2972	114	0.583203	1.99436
chr1	chr1_106648863-106890445	106648863	106890445	241582	5096	422	2311	330	0.453493	2.99544
chr1	chr1_106890445-106946922	106890445	106946922	56477	5096	28	4850	12	0.951727	0.442003
chr1	chr1_106946922-106994038	106946922	106994038	47116	5096	22	2508	10	0.492151	1.88927
chr1	chr1_106994038-107091494	106994038	107091494	97456	5096	615	3022	458	0.593014	3.47957
chr1	chr1_10702147-10717203	10702147	10717203	15056	5096	84	2697	47	0.529239	2.16039
chr1	chr1_107091494-107164762	107091494	107164762	73268	5096	259	3156	158	0.619309	2.79609
chr1	chr1_107164762-107302693	107164762	107302693	137931	5096	528	4099	392	0.804356	2.3244
chr1	chr1_10717203-10743471	10717203	10743471	26268	5096	361	2413	226	0.473509	3.53717
chr1	chr1_107302693-107332494	107302693	107332494	29801	5096	3	2664	1	0.522763	1.00099
chr1	chr1_107332494-107376744	107332494	107376744	44250	5096	155	3007	82	0.590071	2.89301
chr1	chr1_107376744-107388538	107376744	107388538	11794	5096	102	2210	38	0.433673	2.63433
chr1	chr1_107388538-107476225	107388538	107476225	87687	5096	2	5092	0	0.999215	0.00922863
chr1	chr1_10743471-10754383	10743471	10754383	10912	5096	98	2735	51	0.536695	2.41331
chr1	chr1_107476225-107497657	107476225	107497657	21432	5096	55	2181	29	0.427983	2.64689
chr1	chr1_107497657-107530223	107497657	107530223	32566	5096	4	3739	1	0.733713	1.09815
chr1	chr1_107530223-107643095	107530223	107643095	112872	5096	53	2845	40	0.558281	1.18665
chr1	chr1_10754383-10782329	10754383	10782329	27946	5096	17	2420	6	0.474882	1.75245
chr1	chr1_107643095-107703447	107643095	107703447	60352	5096	416	1664	282	0.326531	3.98036
chr1	chr1_107703447-107751599	107703447	107751599	48152	5096	8	3027	1	0.593995	1.61146
chr1	chr1_107751599-107866458	107751599	107866458	114859	5096	317	2131	230	0.418171	3.74403
chr1	chr1_10782329-10799261	10782329	10799261	16932	5096	300	3031	195	0.59478	3.12917
chr1	chr1_107866458-107893466	107866458	107893466	27008	5096	2	5091	0	0.999019	0.0112198
chr1	chr1_107893466-107982850	107893466	107982850	89384	5096	405	3032	284	0.594976	3.03737
chr1	chr1_107982850-108027076	107982850	108027076	44226	5096	91	3254	58	0.63854	1.5441
chr1	chr1_10799261-10827148	10799261	10827148	27887	5096	493	1187	338	0.232928	4.71647
chr1	chr1_108027076-108150039	108027076	108150039	122963	5096	484	3579	363	0.702316	2.55276
chr1	chr1_108150039-108187137	108150039	108187137	37098	5096	30	2304	11	0.452119	1.89591
chr1	chr1_108187137-108527234	108187137	108527234	340097	5096	1580	1478	1254	0.290031	7.04292
chr1	chr1_10827148-10851272	10827148	10851272	24124	5096	51	1798	32	0.352826	2.10398
chr1	chr1_10851272-10874817	10851272	10874817	23545	5096	268	3693	189	0.724686	2.30028
chr1	chr1_108527234-108714644	108527234	108714644	187410	5096	267	3614	221	0.709184	2.11794
chr1	chr1_108714644-108725819	108714644	108725819	11175	5096	11	2973	2	0.583399	1.45781
chr1	chr1_108725819-108823664	108725819	108823664	97845	5096	3	2164	0	0.424647	1.46207
chr1	chr1_10874817-10905343	10874817	10905343	30526	5096	592	1951	371	0.382849	4.96051
chr1	chr1_108823664-108850093	108823664	108850093	26429	5096	419	1992	250	0.390895	4.60615
chr1	chr1_108850093-108912757	108850093	108912757	62664	5096	373	930	200	0.182496	5.10564
chr1	chr1_108912757-108961034	108912757	108961034	48277	5096	290	1295	172	0.254121	4.02433
chr1	chr1_108961034-109044042	108961034	109044042	83008	5096	7	3890	1	0.763344	0.872071
chr1	chr1_109044042-109158041	109044042	109158041	113999	5096	1689	912	1254	0.178964	7.75933
chr1	chr1_10905343-10933117	10905343	10933117	27774	5096	562	1310	379	0.257064	4.7552
chr1	chr1_109158041-109197851	109158041	109197851	39810	5096	3	3046	0	0.597724	0.99738
chr1	chr1_109197851-109246725	109197851	109246725	48874	5096	4	5041	1	0.989207	0.0906992
chr1	chr1_109246725-109279887	109246725	109279887	33162	5096	110	1832	64	0.359498	3.08832
chr1	chr1_109279887-109297332	109279887	109297332	17445	5096	211	2769	119	0.543367	3.03795
chr1	chr1_109297332-109510068	109297332	109510068	212736	5096	46	3497	37	0.686224	1.0258
chr1	chr1_10933117-10947998	10933117	10947998	14881	5096	76	2415	45	0.473901	2.45012
chr1	chr1_10947998-10969421	10947998	10969421	21423	5096	201	2158	121	0.423469	3.08797
chr1	chr1_109510068-109535119	109510068	109535119	25051	5096	49	2183	20	0.428375	2.41373
chr1	chr1_109535119-109622035	109535119	109622035	86916	5096	236	1871	142	0.367151	3.5333
chr1	chr1_109622035-109657738	109622035	109657738	35703	5096	240	2581	139	0.506476	3.22214
chr1	chr1_109657738-109713885	109657738	109713885	56147	5096	626	1619	422	0.3177	4.91834
chr1	chr1_10969421-10994596	10969421	10994596	25175	5096	591	2606	404	0.511381	4.09636
chr1	chr1_109713885-109760883	109713885	109760883	46998	5096	213	2047	127	0.401688	3.34483
chr1	chr1_109760883-109792419	109760883	109792419	31536	5096	356	2648	229	0.519623	3.5064
chr1	chr1_109792419-109823461	109792419	109823461	31042	5096	896	2009	631	0.394231	5.46656
chr1	chr1_109823461-109847464	109823461	109847464	24003	5096	22	2813	9	0.552002	1.56578
chr1	chr1_109847464-109892270	109847464	109892270	44806	5096	414	2135	262	0.418956	4.44905
chr1	chr1_109892270-109909068	109892270	109909068	16798	5096	180	1314	88	0.257849	4.00251
chr1	chr1_109909068-109962041	109909068	109962041	52973	5096	263	2200	168	0.431711	2.59915
chr1	chr1_10994596-11329978	10994596	11329978	335382	5096	294	2598	282	0.509812	2.43037
chr1	chr1_109962041-110095684	109962041	110095684	133643	5096	383	1425	256	0.279631	4.20088
chr1	chr1_110095684-110131078	110095684	110131078	35394	5096	215	1369	143	0.268642	3.53833
chr1	chr1_110131078-110182462	110131078	110182462	51384	5096	163	3098	104	0.607928	2.11186
chr1	chr1_110182462-110227560	110182462	110227560	45098	5096	626	1243	408	0.243917	5.61556
chr1	chr1_110227560-110294855	110227560	110294855	67295	5096	655	2061	452	0.404435	4.37718
chr1	chr1_110294855-110459425	110294855	110459425	164570	5096	84	1856	60	0.364207	2.52717
chr1	chr1_110459425-110488500	110459425	110488500	29075	5096	234	4261	151	0.836146	1.67879
chr1	chr1_110488500-110529007	110488500	110529007	40507	5096	999	1264	686	0.248038	6.15172
chr1	chr1_110529007-110574130	110529007	110574130	45123	5096	477	1950	304	0.382653	4.33426
chr1	chr1_110574130-110592321	110574130	110592321	18191	5096	60	4166	24	0.817504	1.21122
chr1	chr1_110592321-110613072	110592321	110613072	20751	5096	130	3300	72	0.647567	2.20695
chr1	chr1_110613072-110694717	110613072	110694717	81645	5096	106	2145	66	0.420918	2.41046
chr1	chr1_110694717-110814219	110694717	110814219	119502	5096	197	3189	136	0.625785	1.85717
chr1	chr1_110814219-110875595	110814219	110875595	61376	5096	279	913	173	0.17916	4.32519
chr1	chr1_110875595-111001238	110875595	111001238	125643	5096	517	2933	361	0.575549	3.53707
chr1	chr1_111001238-111042526	111001238	111042526	41288	5096	69	2184	43	0.428571	2.22658
chr1	chr1_111042526-111198073	111042526	111198073	155547	5096	249	2461	179	0.482928	2.62337
chr1	chr1_111198073-111256089	111198073	111256089	58016	5096	4	3594	0	0.705259	0.967663
chr1	chr1_111256089-111305073	111256089	111305073	48984	5096	49	2659	26	0.521782	1.8735
chr1	chr1_111305073-111366426	111305073	111366426	61353	5096	478	1594	292	0.312794	4.42224
chr1	chr1_111366426-111483530	111366426	111483530	117104	5096	574	2035	385	0.399333	4.67162
chr1	chr1_111483530-111526753	111483530	111526753	43223	5096	193	2471	136	0.48489	2.47491
chr1	chr1_111526753-111561100	111526753	111561100	34347	5096	102	2408	62	0.472527	2.47892
chr1	chr1_111561100-111588002	111561100	111588002	26902	5096	293	2263	154	0.444074	4.02882
chr1	chr1_111588002-111593336	111588002	111593336	5334	5096	19	3709	4	0.727826	1.4546
chr1	chr1_111593336-111721757	111593336	111721757	128421	5096	183	2288	118	0.44898	2.84197
chr1	chr1_111721757-111805015	111721757	111805015	83258	5096	368	1887	242	0.37029	3.9823
chr1	chr1_111805015-111814522	111805015	111814522	9507	5096	18	4438	12	0.870879	0.752683
chr1	chr1_111814522-111833499	111814522	111833499	18977	5096	4	2593	0	0.50883	1.12525
chr1	chr1_111833499-111879232	111833499	111879232	45733	5096	164	2378	92	0.466641	2.7776
chr1	chr1_111879232-111895334	111879232	111895334	16102	5096	4	3628	0	0.711931	1.19096
chr1	chr1_111895334-111934492	111895334	111934492	39158	5096	162	2158	96	0.423469	3.2098
chr1	chr1_111934492-111943911	111934492	111943911	9419	5096	5	2860	2	0.561224	1.27007
chr1	chr1_111943911-111996245	111943911	111996245	52334	5096	340	2071	218	0.406397	3.21058
chr1	chr1_111996245-112021228	111996245	112021228	24983	5096	97	2245	61	0.440542	2.30023
chr1	chr1_112021228-112070406	112021228	112070406	49178	5096	194	1410	122	0.276688	3.56276
chr1	chr1_112070406-112112372	112070406	112112372	41966	5096	33	3599	15	0.70624	1.61809
chr1	chr1_112112372-112145689	112112372	112145689	33317	5096	22	2511	9	0.492739	1.19305
chr1	chr1_112145689-112231546	112145689	112231546	85857	5096	94	3123	60	0.612834	1.62496
chr1	chr1_112231546-112245754	112231546	112245754	14208	5096	3	5090	0	0.998823	0.0142351
chr1	chr1_112245754-112258831	112245754	112258831	13077	5096	8	3103	1	0.608909	1.10709
chr1	chr1_112258831-112316620	112258831	112316620	57789	5096	143	3654	82	0.717033	2.06754
chr1	chr1_112316620-112333136	112316620	112333136	16516	5096	21	2893	10	0.5677	1.71948
chr1	chr1_112333136-112376413	112333136	112376413	43277	5096	215	2588	125	0.507849	2.88056
chr1	chr1_112376413-112477676	112376413	112477676	101263	5096	517	2550	402	0.500392	3.0207
chr1	chr1_112477676-112511232	112477676	112511232	33556	5096	130	2813	72	0.552002	2.2511
chr1	chr1_112511232-112711604	112511232	112711604	200372	5096	782	1677	607	0.329082	4.49859
chr1	chr1_112711604-112726198	112711604	112726198	14594	5096	33	2761	15	0.541797	1.60965
chr1	chr1_112726198-112788512	112726198	112788512	62314	5096	408	1585	269	0.311028	3.8558
chr1	chr1_112788512-112802328	112788512	112802328	13816	5096	96	3136	48	0.615385	1.92363
chr1	chr1_112802328-112871190	112802328	112871190	68862	5096	251	857	170	0.168171	4.12579
chr1	chr1_112871190-113054942	112871190	113054942	183752	5096	507	2107	391	0.413462	3.68369
chr1	chr1_113054942-113210232	113054942	113210232	155290	5096	18	4552	11	0.89325	0.609306
chr1	chr1_113210232-113232935	113210232	113232935	22703	5096	96	4131	51	0.810636	1.47873
chr1	chr1_113232935-113276642	113232935	113276642	43707	5096	266	3720	161	0.729984	2.15932
chr1	chr1_113276642-113320316	113276642	113320316	43674	5096	98	2228	62	0.437206	2.21154
chr1	chr1_11329978-11367600	11329978	11367600	37622	5096	412	1719	260	0.337323	4.29702
chr1	chr1_113320316-113531326	113320316	113531326	211010	5096	413	3280	310	0.643642	2.80634
chr1	chr1_113531326-113880403	113531326	113880403	349077	5096	275	2469	261	0.484498	2.22028
chr1	chr1_11367600-11430687	11367600	11430687	63087	5096	592	2406	432	0.472135	3.35849
chr1	chr1_113880403-113908685	113880403	113908685	28282	5096	17	2061	10	0.404435	1.68272
chr1	chr1_113908685-113983638	113908685	113983638	74953	5096	108	3317	62	0.650903	1.9004
chr1	chr1_113983638-114012715	113983638	114012715	29077	5096	3	2944	0	0.577708	1.40419
chr1	chr1_114012715-114082803	114012715	114082803	70088	5096	253	3304	156	0.648352	2.60584
chr1	chr1_114082803-114108787	114082803	114108787	25984	5096	152	2762	90	0.541994	2.41469
chr1	chr1_114108787-114121129	114108787	114121129	12342	5096	6	2506	2	0.491758	1.326
chr1	chr1_114121129-114128582	114121129	114128582	7453	5096	110	2196	65	0.430926	2.88487
chr1	chr1_114128582-114138618	114128582	114138618	10036	5096	292	1812	151	0.355573	4.23585
chr1	chr1_114138618-114180022	114138618	114180022	41404	5096	201	2218	126	0.435243	3.05676
chr1	chr1_114180022-114206731	114180022	114206731	26709	5096	17	4335	7	0.850667	0.832193
chr1	chr1_114206731-114221916	114206731	114221916	15185	5096	159	1705	76	0.334576	3.65197
chr1	chr1_114221916-114281401	114221916	114281401	59485	5096	26	3071	17	0.60263	1.64345
chr1	chr1_114281401-114331102	114281401	114331102	49701	5096	98	4069	55	0.798469	1.33452
chr1	chr1_11430687-11526939	11430687	11526939	96252	5096	570	1896	435	0.372057	3.57919
chr1	chr1_114331102-114367937	114331102	114367937	36835	5096	1090	611	738	0.119898	7.36819
chr1	chr1_114367937-114524608	114367937	114524608	156671	5096	12	3576	5	0.701727	1.38872
chr1	chr1_114524608-114772418	114524608	114772418	247810	5096	685	2638	586	0.517661	3.4388
chr1	chr1_114772418-115076192	114772418	115076192	303774	5096	116	2860	87	0.561224	1.71707
chr1	chr1_115076192-115113033	115076192	115113033	36841	5096	58	2919	33	0.572802	1.61353
chr1	chr1_115113033-115133336	115113033	115133336	20303	5096	8	2010	2	0.394427	1.87701
chr1	chr1_115133336-115179598	115133336	115179598	46262	5096	184	1254	98	0.246075	3.51624
chr1	chr1_115179598-115263838	115179598	115263838	84240	5096	82	1366	48	0.268053	2.94816
chr1	chr1_115263838-115289162	115263838	115289162	25324	5096	2	4626	0	0.907771	0.443867
chr1	chr1_11526939-11559582	11526939	11559582	32643	5096	217	2716	139	0.532967	2.81476
chr1	chr1_115289162-115337511	115289162	115337511	48349	5096	268	3618	177	0.709969	2.37605
chr1	chr1_115337511-115378743	115337511	115378743	41232	5096	204	1782	125	0.349686	3.0709
chr1	chr1_115378743-115452959	115378743	115452959	74216	5096	83	4201	53	0.824372	1.14514
chr1	chr1_115452959-115476489	115452959	115476489	23530	5096	6	4210	1	0.826138	0.851583
chr1	chr1_115476489-115557655	115476489	115557655	81166	5096	418	3791	322	0.743917	2.29919
chr1	chr1_115557655-115662186	115557655	115662186	104531	5096	26	2358	15	0.462716	1.64446
chr1	chr1_11559582-11592148	11559582	11592148	32566	5096	703	1296	457	0.254317	5.7192
chr1	chr1_115662186-115686764	115662186	115686764	24578	5096	7	1842	1	0.36146	1.61515
chr1	chr1_115686764-115760302	115686764	115760302	73538	5096	41	2867	16	0.562598	1.98777
chr1	chr1_115760302-115794596	115760302	115794596	34294	5096	109	1929	58	0.378532	2.46495
chr1	chr1_115794596-115857708	115794596	115857708	63112	5096	149	2286	96	0.448587	2.60235
chr1	chr1_115857708-115978436	115857708	115978436	120728	5096	33	3031	19	0.59478	1.49198
chr1	chr1_11592148-11611007	11592148	11611007	18859	5096	24	2382	10	0.467425	1.73625
chr1	chr1_115978436-116112871	115978436	116112871	134435	5096	2	5076	0	0.996075	0.0370215
chr1	chr1_11611007-11651323	11611007	11651323	40316	5096	118	2636	72	0.517268	1.82855
chr1	chr1_116112871-116167027	116112871	116167027	54156	5096	822	1120	499	0.21978	6.47687
chr1	chr1_116167027-116262478	116167027	116262478	95451	5096	588	1343	410	0.26354	4.84366
chr1	chr1_116262478-116344833	116262478	116344833	82355	5096	616	2164	417	0.424647	4.22628
chr1	chr1_116344833-116454994	116344833	116454994	110161	5096	593	1623	352	0.318485	5.49607
chr1	chr1_116454994-116488097	116454994	116488097	33103	5096	367	1863	233	0.365581	3.56723
chr1	chr1_116488097-116565932	116488097	116565932	77835	5096	88	3204	59	0.628728	1.6754
chr1	chr1_11651323-11667863	11651323	11667863	16540	5096	226	1990	130	0.390502	3.30264
chr1	chr1_116565932-116645482	116565932	116645482	79550	5096	505	1129	312	0.221546	5.42786
chr1	chr1_116645482-116712804	116645482	116712804	67322	5096	511	1260	332	0.247253	5.05948
chr1	chr1_11667863-11692083	11667863	11692083	24220	5096	163	1509	108	0.296115	3.26789
chr1	chr1_116712804-116735601	116712804	116735601	22797	5096	115	1555	53	0.305141	3.15422
chr1	chr1_116735601-116755162	116735601	116755162	19561	5096	6	2786	2	0.546703	1.31142
chr1	chr1_116755162-116800859	116755162	116800859	45697	5096	347	3111	186	0.610479	3.30276
chr1	chr1_116800859-116878441	116800859	116878441	77582	5096	229	2499	129	0.490385	3.43957
chr1	chr1_116878441-116924368	116878441	116924368	45927	5096	179	2977	86	0.584184	2.73584
chr1	chr1_11692083-11716139	11692083	11716139	24056	5096	85	2697	52	0.529239	2.24531
chr1	chr1_116924368-116971712	116924368	116971712	47344	5096	160	3479	97	0.682692	2.0698
chr1	chr1_116971712-117026994	116971712	117026994	55282	5096	349	1383	205	0.271389	4.50815
chr1	chr1_117026994-117094874	117026994	117094874	67880	5096	31	3520	18	0.690738	1.44933
chr1	chr1_117094874-117140754	117094874	117140754	45880	5096	399	2465	217	0.483713	4.185
chr1	chr1_117140754-117173484	117140754	117173484	32730	5096	96	2790	51	0.547488	2.63201
chr1	chr1_11716139-11736183	11716139	11736183	20044	5096	278	2026	165	0.397567	3.20397
chr1	chr1_117173484-117193673	117173484	117193673	20189	5096	5	4395	2	0.862441	0.612609
chr1	chr1_117193673-117237905	117193673	117237905	44232	5096	139	2408	88	0.472527	2.34162
chr1	chr1_117237905-117266881	117237905	117266881	28976	5096	3	5067	0	0.994309	0.0563092
chr1	chr1_117266881-117574352	117266881	117574352	307471	5096	646	1510	609	0.296311	3.64539
chr1	chr1_11736183-11763099	11736183	11763099	26916	5096	211	1955	127	0.383634	3.18109
chr1	chr1_117574352-117584112	117574352	117584112	9760	5096	77	2944	43	0.577708	2.33999
chr1	chr1_117584112-117639417	117584112	117639417	55305	5096	195	3390	125	0.665228	2.30614
chr1	chr1_11763099-11853700	11763099	11853700	90601	5096	329	3047	268	0.59792	2.26979
chr1	chr1_117639417-117685286	117639417	117685286	45869	5096	20	2849	7	0.559066	1.66389
chr1	chr1_117685286-117734901	117685286	117734901	49615	5096	19	2340	7	0.459184	1.84123
chr1	chr1_117734901-117978727	117734901	117978727	243826	5096	873	2274	648	0.446232	5.11475
chr1	chr1_117978727-118183659	117978727	118183659	204932	5096	393	1680	305	0.32967	3.18912
chr1	chr1_118183659-118296134	118183659	118296134	112475	5096	150	3454	108	0.677786	1.69725
chr1	chr1_118296134-118393868	118296134	118393868	97734	5096	998	2812	787	0.551805	4.48629
chr1	chr1_118393868-118442812	118393868	118442812	48944	5096	64	3276	36	0.642857	1.70104
chr1	chr1_118442812-118477806	118442812	118477806	34994	5096	318	1108	184	0.217425	5.17791
chr1	chr1_118477806-118564313	118477806	118564313	86507	5096	4	2658	0	0.521586	1.63684
chr1	chr1_11853700-11878809	11853700	11878809	25109	5096	376	972	221	0.190738	4.95876
chr1	chr1_118564313-118866969	118564313	118866969	302656	5096	801	1464	745	0.287284	3.93865
chr1	chr1_11878809-11926564	11878809	11926564	47755	5096	68	2301	40	0.451531	1.79491
chr1	chr1_118866969-118904087	118866969	118904087	37118	5096	43	2283	19	0.447998	2.07977
chr1	chr1_118904087-118996082	118904087	118996082	91995	5096	43	2299	26	0.451138	2.02899
chr1	chr1_118996082-119252682	118996082	119252682	256600	5096	107	2624	90	0.514914	1.96248
chr1	chr1_119252682-119293166	119252682	119293166	40484	5096	869	1152	588	0.22606	5.87833
chr1	chr1_11926564-12015506	11926564	12015506	88942	5096	121	3627	77	0.711735	1.78447
chr1	chr1_119293166-119349977	119293166	119349977	56811	5096	228	3071	139	0.60263	2.72139
chr1	chr1_119349977-119450305	119349977	119450305	100328	5096	294	1619	169	0.3177	3.42
chr1	chr1_119450305-119472944	119450305	119472944	22639	5096	38	1588	16	0.311617	2.68643
chr1	chr1_119472944-119585136	119472944	119585136	112192	5096	245	3290	193	0.645604	2.11406
chr1	chr1_119585136-119625730	119585136	119625730	40594	5096	17	3554	10	0.69741	1.11626
chr1	chr1_119625730-119665849	119625730	119665849	40119	5096	852	686	512	0.134615	7.07352
chr1	chr1_119665849-119731832	119665849	119731832	65983	5096	73	2790	45	0.547488	2.01374
chr1	chr1_119731832-119767245	119731832	119767245	35413	5096	289	1386	152	0.271978	4.41678
chr1	chr1_119767245-119804616	119767245	119804616	37371	5096	4	2320	0	0.455259	1.57727
chr1	chr1_119804616-119893148	119804616	119893148	88532	5096	39	4291	26	0.842033	0.769908
chr1	chr1_119893148-120101779	119893148	120101779	208631	5096	377	1847	266	0.362441	3.8749
chr1	chr1_120101779-120960082	120101779	120960082	858303	5096	2368	1142	2299	0.224097	7.58084
chr1	chr1_12015506-12054235	12015506	12054235	38729	5096	399	1731	263	0.339678	3.90175
chr1	chr1_12054235-12097824	12054235	12097824	43589	5096	577	2136	395	0.419152	4.51956
chr1	chr1_120960082-121411623	120960082	121411623	451541	5096	731	3002	671	0.589089	3.16903
chr1	chr1_12097824-12116740	12097824	12116740	18916	5096	222	2353	132	0.461735	3.29878
chr1	chr1_12116740-12138578	12116740	12138578	21838	5096	710	1199	461	0.235283	5.79526
chr1	chr1_12138578-12180767	12138578	12180767	42189	5096	351	2737	222	0.537088	3.46189
chr1	chr1_121411623-121547320	121411623	121547320	135697	5096	65	1775	46	0.348312	2.53672
chr1	chr1_12180767-12207235	12180767	12207235	26468	5096	418	3583	289	0.7031	2.59376
chr1	chr1_12207235-12407567	12207235	12407567	200332	5096	1193	1076	968	0.211146	6.08292
